"","origin","destinations","tax_year","n","year","total","prop"
"244","puget_sound_area","KY","1314",120,"2013",93106,0.00128885356475415
"245","puget_sound_area","IN","1314",42,"2013",93106,0.000451098747663953
"246","bay_area","KS","1314",29,"2013",167471,0.000173164309044551
"247","bay_area","OK","1314",23,"2013",167471,0.00013733721062154
"248","puget_sound_area","AL","1314",109,"2013",93106,0.00117070865465169
"249","bay_area","IN","1314",71,"2013",167471,0.000423953998005625
"250","puget_sound_area","NE","1314",38,"2013",93106,0.000408136962172148
"251","puget_sound_area","ME","1314",34,"2013",93106,0.000365175176680343
"252","puget_sound_area","IA","1314",55,"2013",93106,0.000590724550512319
"253","puget_sound_area","RI","1314",31,"2013",93106,0.000332953837561489
"254","bay_area","RI","1314",23,"2013",167471,0.00013733721062154
"255","bay_area","AK","1314",37,"2013",167471,0.000220933773608565
"256","bay_area","SC","1314",44,"2013",167471,0.000262732055102077
"257","puget_sound_area","DE","1314",22,"2013",93106,0.000236289820204928
"258","bay_area","bay_area","1213",94990,"2012",181713,0.522747409376324
"259","puget_sound_area","puget_sound_area","1213",47706,"2012",105991,0.450094819371456
"260","bay_area","CA","1213",32006,"2012",181713,0.1761348940362
"261","bay_area","LA","1213",13706,"2012",181713,0.0754266343079471
"262","puget_sound_area","WA","1213",9700,"2012",105991,0.0915172042909304
"263","bay_area","TX","1213",4791,"2012",181713,0.0263657525878721
"264","bay_area","puget_sound_area","1213",3292,"2012",181713,0.0181164803839021
"265","puget_sound_area","LA","1213",4513,"2012",105991,0.042579086903605
"266","bay_area","NY","1213",3735,"2012",181713,0.0205543907150286
"267","bay_area","NV","1213",3208,"2012",181713,0.0176542129621986
"268","bay_area","pdx","1213",1918,"2012",181713,0.0105551061288956
"269","puget_sound_area","bay_area","1213",3594,"2012",105991,0.033908539404289
"270","puget_sound_area","pdx","1213",2842,"2012",105991,0.0268135973809097
"271","puget_sound_area","AZ","1213",3467,"2012",105991,0.0327103244615109
"272","puget_sound_area","TX","1213",3753,"2012",105991,0.035408666773594
"273","bay_area","AZ","1213",2502,"2012",181713,0.0137689653464529
"274","puget_sound_area","CA","1213",3851,"2012",105991,0.0363332735798323
"275","bay_area","OR","1213",1340,"2012",181713,0.00737426601288846
"276","bay_area","CO","1213",1599,"2012",181713,0.00879959056314078
"277","puget_sound_area","OR","1213",1912,"2012",105991,0.0180392674849751
"278","bay_area","IL","1213",1618,"2012",181713,0.00890415105138322
"279","bay_area","MA","1213",1604,"2012",181713,0.00882710648109932
"280","bay_area","FL","1213",1879,"2012",181713,0.010340481968819
"281","puget_sound_area","HI","1213",1356,"2012",105991,0.0127935390740723
"282","puget_sound_area","FL","1213",2565,"2012",105991,0.0242001679387873
"283","puget_sound_area","CO","1213",1522,"2012",105991,0.01435970978668
"284","puget_sound_area","NY","1213",1330,"2012",105991,0.0125482352275193
"285","puget_sound_area","NV","1213",1208,"2012",105991,0.011397194101386
"286","bay_area","HI","1213",1277,"2012",181713,0.00702756544661086
"287","puget_sound_area","ID","1213",1053,"2012",105991,0.00993480578539687
"288","puget_sound_area","UT","1213",787,"2012",105991,0.00742515873989301
"289","bay_area","NC","1213",907,"2012",181713,0.00499138751767898
"290","puget_sound_area","NC","1213",835,"2012",105991,0.00787802737968318
"291","bay_area","GA","1213",741,"2012",181713,0.00407785904145548
"292","bay_area","UT","1213",662,"2012",181713,0.00364310753771057
"293","puget_sound_area","IL","1213",885,"2012",105991,0.00834976554613128
"294","puget_sound_area","GA","1213",852,"2012",105991,0.00803841835627553
"295","puget_sound_area","VA","1213",1043,"2012",105991,0.00984045815210725
"296","bay_area","ID","1213",353,"2012",181713,0.00194262380787285
"297","bay_area","PA","1213",702,"2012",181713,0.00386323488137888
"298","bay_area","DC","1213",567,"2012",181713,0.00312030509649832
"299","puget_sound_area","AK","1213",825,"2012",105991,0.00778367974639356
"300","puget_sound_area","MA","1213",609,"2012",105991,0.00574577086733779
"301","bay_area","VA","1213",737,"2012",181713,0.00405584630708865
"302","bay_area","MD","1213",599,"2012",181713,0.00329640697143297
"303","puget_sound_area","MT","1213",609,"2012",105991,0.00574577086733779
"304","bay_area","MI","1213",481,"2012",181713,0.00264703130761145
"305","puget_sound_area","MD","1213",491,"2012",105991,0.00463246879452029
"306","bay_area","NJ","1213",834,"2012",181713,0.00458965511548431
"307","bay_area","MN","1213",371,"2012",181713,0.0020416811125236
"308","bay_area","OH","1213",402,"2012",181713,0.00221227980386654
"309","puget_sound_area","MN","1213",426,"2012",105991,0.00401920917813777
"310","puget_sound_area","TN","1213",381,"2012",105991,0.00359464482833448
"311","bay_area","WA","1213",292,"2012",181713,0.00160692960877868
"312","puget_sound_area","MI","1213",416,"2012",105991,0.00392486154484815
"313","puget_sound_area","OK","1213",278,"2012",105991,0.00262286420545141
"314","puget_sound_area","PA","1213",400,"2012",105991,0.00377390533158476
"315","puget_sound_area","MO","1213",367,"2012",105991,0.00346255814172901
"316","puget_sound_area","SC","1213",421,"2012",105991,0.00397203536149296
"317","bay_area","CT","1213",360,"2012",181713,0.00198114609301481
"318","puget_sound_area","NJ","1213",289,"2012",105991,0.00272664660206999
"319","bay_area","TN","1213",265,"2012",181713,0.00145834365180257
"320","puget_sound_area","OH","1213",385,"2012",105991,0.00363238388165033
"321","puget_sound_area","DC","1213",242,"2012",105991,0.00228321272560878
"322","puget_sound_area","KS","1213",291,"2012",105991,0.00274551612872791
"323","bay_area","NM","1213",327,"2012",181713,0.00179954103448845
"324","bay_area","WI","1213",206,"2012",181713,0.00113365581989181
"325","puget_sound_area","CT","1213",230,"2012",105991,0.00216999556566124
"326","puget_sound_area","WI","1213",174,"2012",105991,0.00164164881923937
"327","puget_sound_area","NM","1213",222,"2012",105991,0.00209451745902954
"328","bay_area","MO","1213",289,"2012",181713,0.00159042005800356
"329","puget_sound_area","KY","1213",171,"2012",105991,0.00161334452925248
"330","puget_sound_area","IN","1213",120,"2012",105991,0.00113217159947543
"331","bay_area","KS","1213",144,"2012",181713,0.000792458437205924
"332","bay_area","NE","1213",70,"2012",181713,0.000385222851419546
"333","bay_area","KY","1213",83,"2012",181713,0.000456764238111748
"334","bay_area","OK","1213",125,"2012",181713,0.000687897948963475
"335","puget_sound_area","AL","1213",155,"2012",105991,0.00146238831598909
"336","bay_area","IN","1213",113,"2012",181713,0.000621859745862982
"337","bay_area","ME","1213",60,"2012",181713,0.000330191015502468
"338","puget_sound_area","NE","1213",109,"2012",105991,0.00102838920285685
"339","puget_sound_area","ME","1213",37,"2012",105991,0.00034908624317159
"340","puget_sound_area","IA","1213",110,"2012",105991,0.00103782396618581
"341","puget_sound_area","AR","1213",67,"2012",105991,0.000632129143040447
"342","puget_sound_area","RI","1213",51,"2012",105991,0.000481172929777057
"343","bay_area","RI","1213",55,"2012",181713,0.000302675097543929
"344","bay_area","VT","1213",20,"2012",181713,0.000110063671834156
"345","puget_sound_area","ND","1213",125,"2012",105991,0.00117934541612024
"346","bay_area","AK","1213",155,"2012",181713,0.000852993456714709
"347","bay_area","SC","1213",47,"2012",181713,0.000258649628810267
"348","puget_sound_area","DE","1213",31,"2012",105991,0.000292477663197819
"349","bay_area","NH","1213",84,"2012",181713,0.000462267421703455
"350","bay_area","bay_area","1112",92605,"2011",173900,0.532518688901668
"351","puget_sound_area","puget_sound_area","1112",44252,"2011",100863,0.438733727927982
"352","bay_area","CA","1112",30592,"2011",173900,0.175917193789534
"353","bay_area","LA","1112",13193,"2011",173900,0.0758654399079931
"354","puget_sound_area","WA","1112",9375,"2011",100863,0.0929478599684721
"355","bay_area","TX","1112",4248,"2011",173900,0.0244278320874066
"356","bay_area","puget_sound_area","1112",2773,"2011",173900,0.0159459459459459
"357","puget_sound_area","LA","1112",4498,"2011",100863,0.0445951439080733
"358","bay_area","NY","1112",3594,"2011",173900,0.0206670500287522
"359","bay_area","NV","1112",2839,"2011",173900,0.0163254744105808
"360","bay_area","pdx","1112",1719,"2011",173900,0.00988499137435308
"361","puget_sound_area","bay_area","1112",3601,"2011",100863,0.0357018926662899
"362","puget_sound_area","pdx","1112",2937,"2011",100863,0.0291187055709229
"363","puget_sound_area","AZ","1112",3327,"2011",100863,0.0329853365456114
"364","puget_sound_area","TX","1112",3315,"2011",100863,0.0328663632848517
"365","bay_area","AZ","1112",2234,"2011",173900,0.0128464634847614
"366","puget_sound_area","CA","1112",3596,"2011",100863,0.0356523204743067
"367","bay_area","OR","1112",1178,"2011",173900,0.0067740080506038
"368","bay_area","CO","1112",1462,"2011",173900,0.00840713053479011
"369","puget_sound_area","OR","1112",1836,"2011",100863,0.0182029088962256
"370","bay_area","IL","1112",1567,"2011",173900,0.00901092581943646
"371","bay_area","MA","1112",1450,"2011",173900,0.00833812535940195
"372","bay_area","FL","1112",1962,"2011",173900,0.0112823461759632
"373","puget_sound_area","HI","1112",1371,"2011",100863,0.0135926950417894
"374","puget_sound_area","FL","1112",2358,"2011",100863,0.0233782457392701
"375","puget_sound_area","CO","1112",1383,"2011",100863,0.013711668302549
"376","puget_sound_area","NY","1112",1358,"2011",100863,0.0134638073426331
"377","puget_sound_area","NV","1112",1287,"2011",100863,0.0127598822164718
"378","bay_area","HI","1112",1101,"2011",173900,0.00633122484186314
"379","puget_sound_area","ID","1112",982,"2011",100863,0.00973597850549756
"380","puget_sound_area","UT","1112",758,"2011",100863,0.00751514430465086
"381","bay_area","NC","1112",671,"2011",173900,0.00385853939045428
"382","puget_sound_area","NC","1112",793,"2011",100863,0.00786214964853316
"383","bay_area","GA","1112",860,"2011",173900,0.00494537090281771
"384","bay_area","UT","1112",508,"2011",173900,0.00292121909143186
"385","puget_sound_area","IL","1112",903,"2011",100863,0.00895273787216323
"386","puget_sound_area","GA","1112",904,"2011",100863,0.00896265231055987
"387","puget_sound_area","VA","1112",1052,"2011",100863,0.0104299891932621
"388","bay_area","ID","1112",364,"2011",173900,0.00209315698677401
"389","bay_area","PA","1112",639,"2011",173900,0.00367452558941921
"390","bay_area","DC","1112",543,"2011",173900,0.00312248418631397
"391","puget_sound_area","AK","1112",745,"2011",100863,0.00738625660549458
"392","puget_sound_area","MA","1112",579,"2011",100863,0.00574045983165284
"393","bay_area","VA","1112",777,"2011",173900,0.00446808510638298
"394","bay_area","MD","1112",636,"2011",173900,0.00365727429557217
"395","puget_sound_area","MT","1112",520,"2011",100863,0.00515550796625125
"396","bay_area","MI","1112",534,"2011",173900,0.00307073030477286
"397","puget_sound_area","MD","1112",492,"2011",100863,0.00487790369114542
"398","bay_area","NJ","1112",743,"2011",173900,0.00427257044278321
"399","bay_area","MN","1112",403,"2011",173900,0.00231742380678551
"400","bay_area","OH","1112",414,"2011",173900,0.00238067855089132
"401","puget_sound_area","MN","1112",386,"2011",100863,0.00382697322110189
"402","puget_sound_area","TN","1112",389,"2011",100863,0.0038567165362918
"403","bay_area","WA","1112",241,"2011",173900,0.00138585393904543
"404","puget_sound_area","MI","1112",388,"2011",100863,0.00384680209789516
"405","puget_sound_area","OK","1112",249,"2011",100863,0.00246869516076262
"406","puget_sound_area","PA","1112",404,"2011",100863,0.00400543311224136
"407","puget_sound_area","MO","1112",307,"2011",100863,0.00304373258776757
"408","puget_sound_area","SC","1112",348,"2011",100863,0.00345022456202968
